整理番号,集計F,出馬,当選,候補者ID,イメージID,ブロックCD,都道府県CD,統合CD,選挙区CD,ブロック名,都道府県名,選挙区名,選挙区登録番号,比例登録番号,選挙区届出番号,名簿掲載順,候補者名,新旧,党派CD,集計党派CD,集計党派,党派名,,確認F,,,,,,,,,,,,,,,,,Q01-1,Q01-2,Q01-3,"Q02
","Q03
","Q04
","Q05
-01","Q05
-02","Q05
-03","Q05
-04","Q05
-05","Q05
-06","Q05
-07","Q05
-08","Q05
-09","Q06
","Q07
",Q08-01,Q08-02,Q08-03,Q08-04,Q08-05,Q08-06,Q09,Q10,"Q11
","Q12
","Q13
","Q14
","Q15
","Q16
","Q17
","Q18
","SQ　【Q18で01か02を選んだ人だけ】 
-01","SQ　【Q18で01か02を選んだ人だけ】 
-02","SQ　【Q18で01か02を選んだ人だけ】 
-03","SQ　【Q18で01か02を選んだ人だけ】 
-04","SQ　【Q18で01か02を選んだ人だけ】 
-05","SQ　【Q18で01か02を選んだ人だけ】 
-06","SQ　【Q18で01か02を選んだ人だけ】 
-07","SQ　【Q18で01か02を選んだ人だけ】 
-08","SQ　【Q18で01か02を選んだ人だけ】 
-09","SQ　【Q18で01か02を選んだ人だけ】 
-10","SQ　【Q18で01か02を選んだ人だけ】 
-11","SQ　【Q18で01か02を選んだ人だけ】 
-12","SQ　【Q18で01か02を選んだ人だけ】 
-13","SQ　【Q18で01か02を選んだ人だけ】 
-14","SQ　【Q18で01か02を選んだ人だけ】 
-15","SQ　【Q18で01か02を選んだ人だけ】 
-16","SQ　【Q18で01か02を選んだ人だけ】 
-17","SQ　【Q18で01か02を選んだ人だけ】 
-18","SQ　【Q18で01か02を選んだ人だけ】 
-19","SQ　【Q18で01か02を選んだ人だけ】 
-20","Q19
","Q20
",Q21,Q22,Q23,"Q24 
","Q25
","Q26
","Q27
-01","Q27
-02","Q27
-03","Q27
-04","Q27
-05","Q27
-06","Q27
-07","Q27
-08","Q27
-09","Q27
-10","Q28-01
",Q28-02,Q28-03,Q28-04,Q28-05,Q28-06,Q28-07,Q28-08,Q28-9
1,1,1,0,135847,YRYA01001XXX001K,81,1,01,1,北海ブ,北海道,北海１区,1,8,2,3,道下大樹,1,22,03,立憲民主党,立民,,○,,,,,,,,,,,,,,,,,09,05,07,03,04,01,,,,,,,,,09,02,04,02,01,01,02,02,01,03,03,05,02,02,03,01,01,01,04,,,,,,,,,,,,,,,,,,,,,05,03,05,04,04,02,03,01,,,,,,06,,08,,,50,70,100,70,70,80,70,80,50
2,1,1,0,135850,YRYA01001XXX002K,81,1,01,1,北海ブ,北海道,北海１区,2,1,1,1,小林悟,3,87,04,日本維新の会,維新,,○,,,,,,,,,,,,,,,,,09,14,07,03,01,01,,,,,,,,,09,03,01,02,01,01,02,02,01,02,01,01,01,03,01,01,01,01,01,01,,03,04,05,06,07,08,,,,,,14,15,16,17,,,,01,01,01,05,01,05,,03,,,,,,,,,,,50,50,50,100,50,50,50,50,50
3,1,1,0,136367,YRYA01001XXX004K,81,1,01,1,北海ブ,北海道,北海１区,4,14,5,2,加藤貴弘,3,1,01,自民党,自民,,○,,,,,,,,,,,,,,,,,09,01,21,02,04,04,,02,,04,,,,,,02,02,02,02,01,02,02,02,02,02,01,02,02,02,01,01,01,01,01,,03,04,05,06,,,,10,,,,,,16,,18,,20,01,01,01,02,02,02,02,03,,02,,,,,,,,,100,95,0,20,0,10,0,0,0
4,1,1,0,136844,YRYA01001XXX005K,81,1,01,1,北海ブ,北海道,北海１区,5,0,4,0,千葉尚子,3,5,05,共産党,共産,,○,,,,,,,,,,,,,,,,,06,11,14,03,04,01,,,,04,,,,,,02,05,04,01,01,01,01,01,03,04,05,05,03,05,03,02,02,05,,,,,,,,,,,,,,,,,,,,,05,03,05,05,04,02,03,01,,,,,,,,,,,0,0,30,0,100,0,30,50,0
5,1,1,0,135864,YRYA01002XXX002K,81,1,01,2,北海ブ,北海道,北海２区,2,9,4,3,高橋祐介,1,1,01,自民党,自民,,○,,,,,,,,,,,,,,,,,01,05,04,02,02,04,01,02,,,,,,,,03,01,03,02,02,03,03,02,03,02,03,02,02,02,02,03,03,01,,,03,,,,,08,,,,,,,,,,18,,,02,02,03,01,02,03,02,04,,02,,,,,,,,,100,90,0,70,0,60,0,0,40
6,1,1,0,135865,YRYA01002XXX003K,81,1,01,2,北海ブ,北海道,北海２区,3,2,1,2,山崎泉,3,87,04,日本維新の会,維新,,○,,,,,,,,,,,,,,,,,04,01,14,04,02,01,,,,,,,,,09,02,04,04,03,02,05,03,01,01,02,01,02,03,01,02,04,03,01,,,,,,,,08,,,,,,,,,,,,,01,01,04,05,02,02,02,01,,,03,,,,,,,,0,0,0,100,0,0,0,0,0
7,1,1,0,136769,YRYA01002XXX004K,81,1,01,2,北海ブ,北海道,北海２区,4,7,2,2,宮内史織,3,5,05,共産党,共産,,○,,,,,,,,,,,,,,,,,06,19,11,03,04,01,,,,,,,,,09,02,05,04,01,01,01,01,01,03,04,05,05,03,05,03,01,01,05,,,,,,,,,,,,,,,,,,,,,05,03,05,05,04,02,03,01,,,,,,,,,,,0,0,20,0,100,0,20,55,0
8,1,1,0,137856,YRYA01002XXX005K,81,1,01,2,北海ブ,北海道,北海２区,5,17,3,4,松木謙公,1,22,03,立憲民主党,立民,,○,,,,,,,,,,,,,,,,,04,05,09,03,05,01,,,,04,,,,,,01,03,02,03,02,02,03,01,02,03,04,04,03,01,03,03,03,04,,,,,,,,,,,,,,,,,,,,,03,02,04,01,02,02,03,01,,,,04,05,06,07,08,09,10,50,50,55,50,50,50,50,50,50
9,1,1,0,135674,YRYA01003XXX001K,81,1,01,3,北海ブ,北海道,北海３区,1,3,5,4,高木宏寿,1,1,01,自民党,自民,,○,,,,,,,,,,,,,,,,,01,12,14,02,02,02,,02,03,,05,,,,,02,02,02,04,01,02,04,01,02,02,02,02,02,01,01,03,02,01,01,02,03,04,,,,08,,10,,,,,,,17,18,,,01,02,01,02,03,04,02,04,,02,,,,,,,,,80,70,10,30,0,30,0,0,10
10,1,1,0,135675,YRYA01003XXX002K,81,1,01,3,北海ブ,北海道,北海３区,2,1,2,5,荒井優,1,22,03,立憲民主党,立民,,○,,,,,,,,,,,,,,,,,03,04,21,02,01,01,,,03,,,,,,,02,04,03,03,02,01,03,01,03,03,03,03,03,01,01,03,01,05,,,,,,,,,,,,,,,,,,,,,05,02,03,02,01,02,03,01,,,,,,,,,,,0,40,100,60,60,60,40,60,40
